name,address,rating,lat,lon,maps_link,google_maps_link
KABHADI-Recycling & Waste Management,"Tyagi Market, Prem Nagar, Dehradun, Shahpur Santore, Uttarakhand 248007, India",4.8,30.3354206,77.9631574,,"https://www.google.com/maps?q=30.3354206,77.9631574"
Shiv Shakti Enterprises - Electronics Showroom | Electronic Distributor in dehradun | Mobile Inverter Battery RO Chimneys,"Back Side Mandir & Gurudwara 46, near Union Bank, Tyagi Market, Prem Nagar, Dehradun, Uttarakhand 248007, India",4.5,30.333824399999997,77.961137,,"https://www.google.com/maps?q=30.333824399999997,77.961137"
Green Nature,"Thakurpur Rd, Prem Nagar, Dehradun, Arcadia Grant, Uttarakhand 248007, India",4.4,30.332562099999997,77.946212,,"https://www.google.com/maps?q=30.332562099999997,77.946212"
Arihant Computers,"Khanna Complex, Tyagi Market, Prem Nagar, Dehradun, Shahpur Santore, Uttarakhand 248007, India",4.6,30.3359107,77.962595,,"https://www.google.com/maps?q=30.3359107,77.962595"
Veer refrigerator and AC service centre,"Thakurpur Rd, Shahpur, Prem Nagar, Dehradun, Uttarakhand 248001, India",4.6,30.336169799999997,77.9596026,,"https://www.google.com/maps?q=30.336169799999997,77.9596026"
Jeet Scrap Dealer,"Chakrata Rd, near GRD Girls College, Kehri Gaon, Prem Nagar, Dehradun, Uttarakhand 248007, India",,30.338967,77.9568513,,"https://www.google.com/maps?q=30.338967,77.9568513"
R.O sales and service,"Shyampur, Thakurpur Rd, Prem Nagar, Uttarakhand 248007, India",,30.3341055,77.9506924,,"https://www.google.com/maps?q=30.3341055,77.9506924"
